hostname,sy_snum,sy_pnum,pl_bmasse,pl_bmassj,st_mass
11 UMi,1,1,4684.81420,14.74000,2.78
14 And,1,1,1525.50000,4.80000,2.20
14 Her,1,1,1481.08780,4.66000,0.90
1RXS J160929.1-210524,1,1,3000.00000,8.00000,0.85
24 Boo,1,1,289.22530,0.91000,0.99
24 Sex,1,2,632.46000,1.99000,1.54
24 Sex,1,2,273.32000,0.86000,1.54
2MASS J01225093-2439505,1,1,7786.50000,24.50000,0.40
2MASS J02192210-3925225,1,1,4417.83700,13.90000,0.11
2MASS J04414489+2301513,1,1,2383.60000,7.50000,0.02
2MASS J12073346-3932539,1,1,1589.15000,5.00000,0.02
2MASS J21402931+1625183 A,1,1,6657.48000,20.95000,0.08
2MASS J22362452+4751425,1,1,3972.87500,12.50000,0.60
4 UMa,1,1,2256.50000,7.10000,1.23
47 UMa,1,3,804.08000,2.53000,1.06
47 UMa,1,3,171.62100,0.54000,1.06
47 UMa,1,3,521.22000,1.64000,1.06
51 Peg,1,1,146.20180,0.46000,1.03
6 Lyn,1,1,638.83830,2.01000,1.44
61 Vir,1,3,5.10000,0.01600,0.94
61 Vir,1,3,18.20000,0.05700,0.94
61 Vir,1,3,22.90000,0.07200,0.94
7 CMa,1,2,587.98550,1.85000,1.34
7 CMa,1,2,276.51210,0.87000,1.34
70 Vir,1,1,2380.45000,7.49000,1.09
8 UMi,1,1,416.35730,1.31000,1.44
81 Cet,1,1,1684.40000,5.30000,2.40
AB Pic,1,1,4290.50000,13.50000,0.90
AU Mic,1,1,57.20940,0.18000,0.50
BD+03 2562,1,1,2034.11200,6.40000,1.14
BD+14 4559,1,1,330.54320,1.04000,0.49
BD+15 2375,1,1,337.21763,1.06100,1.08
BD+15 2940,1,1,352.78000,1.11000,1.10
BD+20 2457,1,2,17668.16970,55.59000,10.83
BD+20 2457,1,2,3963.17000,12.47000,2.80
BD+20 274,1,1,1334.88600,4.20000,0.80
BD+20 594,1,1,22.24810,0.07000,1.67
BD+48 738,1,1,289.22530,0.91000,0.74
BD+48 740,1,1,540.31100,1.70000,1.09
BD+49 828,1,1,508.50000,1.60000,1.52
BD-06 1339,1,2,8.50000,0.02700,0.70
BD-06 1339,1,2,53.00000,0.17000,0.70
BD-08 2823,1,2,12.71320,0.04000,0.50
BD-08 2823,1,2,104.00000,0.33000,0.74
BD-10 3166,1,1,187.51970,0.59000,1.47
BD-11 4672,1,2,206.58950,0.65000,0.65
BD-11 4672,1,2,15.37000,0.04836,0.65
BD-13 2130,1,1,3108.37740,9.78000,2.12
BD-17 63,1,1,1620.90000,5.10000,0.74
CFBDSIR J145829+101343,1,1,3337.10000,10.50000,0.02
CHXR 73,1,1,3994.48600,12.56900,0.35
CI Tau,1,1,3686.82800,11.60000,0.90
CT Cha,1,1,5403.00000,17.00000,
CoRoT-1,1,1,327.35000,1.03000,0.95
CoRoT-10,1,1,874.00000,2.75000,0.89
CoRoT-11,1,1,740.51000,2.33000,1.27
CoRoT-12,1,1,291.43800,0.91700,1.08
CoRoT-13,1,1,415.70400,1.30800,1.09
CoRoT-14,1,1,2415.40000,7.60000,1.13
CoRoT-16,1,1,170.03200,0.53500,1.10
CoRoT-17,1,1,772.29000,2.43000,1.04
CoRoT-18,1,1,1102.82000,3.47000,0.95
CoRoT-19,1,1,352.78000,1.11000,1.21
CoRoT-20,1,2,1366.66900,4.30000,1.14
CoRoT-20,1,2,5403.11000,17.00000,1.14
CoRoT-21,1,1,718.29580,2.26000,1.29
CoRoT-22,1,1,12.20000,0.03800,1.10
CoRoT-23,1,1,889.90000,2.80000,1.14
CoRoT-24,1,2,5.70000,0.01800,0.91
CoRoT-24,1,2,28.00000,0.08800,0.91
CoRoT-25,1,1,85.81000,0.27000,1.09
CoRoT-26,1,1,165.26000,0.52000,1.09
CoRoT-27,1,1,3302.11000,10.39000,1.05
CoRoT-28,1,1,153.82972,0.48400,1.01
CoRoT-29,1,1,270.15550,0.85000,0.97
CoRoT-3,1,1,6883.91000,21.66000,1.37
CoRoT-30,1,1,921.70700,2.90000,0.98
CoRoT-31,1,1,266.97720,0.84000,1.25
CoRoT-4,1,1,228.83000,0.72000,1.16
CoRoT-5,1,1,148.42000,0.46700,1.00
CoRoT-6,1,1,940.74000,2.96000,1.05
CoRoT-7,1,2,4.07661,0.01283,0.82
CoRoT-7,1,2,8.40000,0.02643,0.90
CoRoT-8,1,1,69.92000,0.22000,0.88
CoRoTID 223977153,1,1,47.67450,0.15000,1.08
DENIS-P J082303.1-491201,1,1,9057.77000,28.50000,0.07
DH Tau,1,1,3496.00000,11.00000,0.33
DMPP-1,1,4,24.27000,0.07636,1.21
DMPP-1,1,4,9.60000,0.03020,1.21
DMPP-1,1,4,3.35000,0.01054,1.21
DMPP-1,1,4,4.13000,0.01299,1.21
DMPP-2,1,1,138.89171,0.43700,1.44
EPIC 201170410,1,1,1.15000,0.00360,0.29
EPIC 201238110,1,1,4.16000,0.01310,0.41
EPIC 201497682,1,1,0.26000,0.00082,0.78
K2-166,1,2,1.98000,0.00624,1.07
K2-16,1,3,1.08000,0.00340,0.67
EPIC 201757695,1,1,0.68800,0.00217,0.73
K2-50,1,2,0.97200,0.00306,0.61
EPIC 201841433,1,1,1.12000,0.00352,0.80
K2-168,1,2,2.27000,0.00714,0.88
EPIC 206024342,1,1,3.53000,0.01110,0.93
EPIC 206032309,1,1,1.01000,0.00317,0.22
EPIC 206042996,1,1,3.26000,0.01020,0.56
EPIC 206215704,1,1,0.66600,0.00210,0.41
EPIC 206317286,1,1,0.84000,0.00264,0.71
EPIC 211822797,1,1,4.58000,0.01440,0.66
EPIC 211945201,1,1,27.00000,0.08495,1.17
EPIC 212297394,1,1,2.31000,0.00727,0.83
EPIC 212424622,1,1,5.35000,0.01680,1.11
EPIC 212499991,1,1,3.19000,0.01000,0.91
EPIC 212587672,1,1,1.46000,0.00459,0.95
EPIC 212737443,1,2,7.20000,0.02270,0.69
EPIC 212737443,1,2,7.70000,0.02420,0.69
K2-282,1,2,2.79000,0.00879,0.94
EPIC 220674823,1,2,7.72000,0.02429,0.97
EPIC 220674823,1,2,5.80000,0.01825,0.97
EPIC 248847494,1,1,4131.79000,13.00000,0.90
EPIC 249893012,1,3,8.75000,0.02753,1.05
EPIC 249893012,1,3,14.67000,0.04616,1.05
EPIC 249893012,1,3,10.18000,0.03203,1.05
FU Tau,1,1,5085.28000,16.00000,0.05
G 9-40,1,1,4.76000,0.01500,0.29
GJ 1061,1,3,1.37000,0.00431,0.12
GJ 1061,1,3,1.74000,0.00547,0.12
GJ 1061,1,3,1.64000,0.00516,0.12
GJ 1132,1,2,1.66000,0.00522,0.18
GJ 1132,1,2,2.64000,0.00831,0.18
GJ 1148,1,2,96.70000,0.30425,0.34
GJ 1148,1,2,68.06000,0.21414,0.34
GJ 1151,1,1,2.50000,0.00787,0.17
GJ 1214,1,1,6.26125,0.01970,0.15
GJ 1252,1,1,2.09000,0.00658,0.38
GJ 1265,1,1,7.40000,0.02328,0.18
GJ 143,1,2,22.70000,0.07142,0.73
GJ 160.2,1,1,10.20000,0.03209,0.69
GJ 163,1,3,10.60000,0.03335,0.40
GJ 163,1,3,6.80000,0.02140,0.40
GJ 163,1,3,29.40000,0.09250,0.40
GJ 179,1,1,260.61000,0.82000,0.36
GJ 180,1,3,6.49000,0.02042,0.43
GJ 180,1,3,6.40000,0.02014,0.43
GJ 180,1,3,7.56000,0.02379,0.43
GJ 2056,1,1,16.20000,0.05097,0.62
GJ 251,1,1,4.00000,0.01259,0.36
GJ 27.1,1,1,13.00000,0.04090,0.53
GJ 273,1,2,2.89000,0.00909,0.29
GJ 273,1,2,1.18000,0.00371,0.29
GJ 3082,1,1,8.20000,0.02580,0.47
GJ 3138,1,3,1.78000,0.00560,0.68
GJ 3138,1,3,4.18000,0.01315,0.68
GJ 3138,1,3,10.50000,0.03304,0.68
GJ 317,1,2,794.50000,2.50000,0.42
GJ 317,1,2,522.50000,1.64396,0.42
GJ 328,1,1,731.00000,2.30000,0.69
GJ 3293,1,4,23.54000,0.07406,0.42
GJ 3293,1,4,21.09000,0.06636,0.42
GJ 3293,1,4,7.60000,0.02391,0.42
GJ 3293,1,4,3.28000,0.01032,0.42
GJ 3323,1,2,2.02000,0.00636,0.16
GJ 3323,1,2,2.31000,0.00727,0.16
GJ 3341,1,1,6.60000,0.02080,0.47
GJ 3470,1,1,13.90000,0.04373,0.54
GJ 3512,1,1,147.15529,0.46300,0.12
GJ 357,1,3,1.84000,0.00579,0.34
GJ 357,1,3,3.40000,0.01070,0.34
GJ 357,1,3,6.10000,0.01919,0.34
GJ 3634,1,1,8.40000,0.02600,0.45
GJ 3779,1,1,8.00000,0.02517,0.27
GJ 3942,1,1,7.14000,0.02246,0.63
GJ 3998,1,2,2.47000,0.00777,0.50
GJ 3998,1,2,6.26000,0.01970,0.50
GJ 411,1,1,2.69000,0.00846,0.39
GJ 422,1,1,11.07000,0.03483,0.35
GJ 4276,1,1,16.57000,0.05213,0.41
GJ 433,1,3,6.04300,0.01901,0.48
GJ 433,1,3,32.42200,0.10201,0.48
GJ 433,1,3,5.22300,0.01643,0.48
GJ 436,1,1,22.10000,0.07000,0.47
GJ 480,1,1,13.20000,0.04153,0.45
GJ 486,1,1,2.82000,0.00887,0.32
GJ 504,1,1,1271.30000,4.00000,1.22
GJ 536,1,1,5.36000,0.01686,0.52
GJ 581,1,3,15.80000,0.04970,0.31
GJ 581,1,3,5.50000,0.01730,0.31
GJ 581,1,3,1.70000,0.00530,0.31
GJ 625,1,1,2.82000,0.00887,0.30
GJ 649,1,1,104.24400,0.32800,0.54
GJ 674,1,1,11.09000,0.03500,0.35
GJ 682,1,2,4.40000,0.01384,0.27
GJ 682,1,2,8.70000,0.02737,0.27
GJ 685,1,1,9.00000,0.02832,0.55
GJ 687,1,2,17.20000,0.05412,0.40
GJ 687,1,2,16.00000,0.05034,0.40
GJ 740,1,1,2.96000,0.00931,0.58
GJ 832,1,2,216.00000,0.68000,0.45
GJ 832,1,2,5.40000,0.01700,0.45
GJ 849,1,1,317.83000,1.00000,0.65
GJ 876,1,4,723.22350,2.27560,0.32
GJ 876,1,4,226.98460,0.71420,0.32
GJ 876,1,4,6.83000,0.02100,0.32
GJ 876,1,4,14.60000,0.04600,0.32
GJ 887,1,2,4.20000,0.01321,0.49
GJ 887,1,2,7.60000,0.02391,0.49
GJ 9066,1,2,30.90000,0.09722,0.15
GJ 9066,1,2,71.60000,0.22528,0.15
GJ 96,1,1,19.66000,0.06186,0.60
GJ 9827,1,3,4.91000,0.01545,0.61
GJ 9827,1,3,0.84000,0.00264,0.61
GJ 9827,1,3,4.04000,0.01271,0.61
GQ Lup,1,1,6356.00000,20.00000,0.70
GSC 06214-00210,1,1,4258.70000,13.50000,0.60
GU Psc,1,1,3591.30000,11.30000,0.33
Gl 378,1,1,13.02000,0.04097,0.56
Gl 686,1,1,6.62400,0.02084,0.43
HAT-P-11,1,2,26.69772,0.08400,0.81
HAT-P-11,1,2,731.00900,2.30000,0.81
HAT-P-12,1,1,67.05900,0.21100,0.73
HAT-P-13,1,2,270.46200,0.85100,1.32
HAT-P-13,1,2,4538.42100,14.28000,1.32
HAT-P-15,1,1,616.59020,1.94000,1.00
HAT-P-17,1,2,184.34140,0.58000,0.99
HAT-P-17,1,2,1080.60000,3.40000,0.92
HAT-P-18,1,1,62.61000,0.19700,0.77
HAT-P-19,1,1,92.80200,0.29200,0.84
HAT-P-2,1,1,2765.12100,8.70000,1.33
