sy_snum,sy_pnum,pl_orbper,pl_rade,pl_dens,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg
1,1,516.21997000,12.300,13.800000,0.080000,,4213.00,29.79,2.78,-0.020,[Fe/H],1.93
1,1,185.84000000,12.900,3.900000,0.000000,,4813.00,11.00,2.20,-0.240,[Fe/H],2.63
1,1,1773.40002000,12.900,3.790000,0.370000,,5338.00,0.93,0.90,0.410,[Fe/H],4.45
1,1,,18.647,2.540000,,1700,4060.00,1.31,0.85,,,4.00
1,1,30.35060000,13.900,0.592000,0.042000,,4893.00,10.64,0.99,-0.770,[Fe/H],2.42
1,1,,11.209,30.400000,,1600,3530.00,0.37,0.40,,,4.86
1,1,,16.141,5.770000,,,3064.00,0.28,0.11,,,4.59
1,1,,12.600,6.550000,,,2936.00,0.23,0.02,,,5.01
1,1,,12.900,4.070000,,1250,2825.00,0.22,0.02,,,5.03
1,1,7336.50000000,10.310,33.400000,0.260000,2075,2300.00,0.12,0.08,,,5.22
1,1,,12.300,11.700000,,,4045.00,0.64,0.60,,,4.62
1,1,269.30000000,12.700,6.050000,0.432000,,4415.00,18.11,1.23,-0.250,[Fe/H],1.80
1,1,4.23078500,14.300,0.275000,0.013000,,5758.00,1.18,1.03,0.180,[M/H],4.31
1,1,934.30000000,13.400,1.460000,0.073000,,4938.00,5.20,1.44,-0.130,[Fe/H],3.19
1,1,116.68800000,12.600,6.540000,0.398800,,5495.00,1.89,1.09,-0.090,[Fe/H],3.95
1,1,93.40000000,13.600,0.910000,0.060000,,4847.00,10.30,1.44,-0.030,[Fe/H],2.57
1,1,952.70000000,12.800,4.410000,0.206000,,4785.00,11.00,2.40,-0.060,[Fe/H],2.35
1,1,,12.300,12.700000,,,5285.00,1.00,0.90,0.040,[Fe/H],4.53
1,1,8.46321000,4.203,4.400000,0.100000,,3700.00,0.75,0.50,,,4.57
1,1,481.90000000,12.700,5.460000,0.200000,,4095.00,32.35,1.14,-0.710,[Fe/H],1.89
1,1,268.94000000,13.800,0.691000,0.290000,,4864.00,0.86,0.49,0.170,[Fe/H],4.26
1,1,153.22000000,13.800,0.705000,0.001000,,4649.00,8.95,1.08,-0.220,[Fe/H],2.61
1,1,137.48000000,13.700,0.754000,0.260000,,4796.00,14.70,1.10,0.280,[Fe/H],2.80
1,1,578.20000000,13.000,3.340000,0.210000,,4296.00,17.30,0.80,-0.460,[Fe/H],1.99
1,1,41.68550000,2.578,7.890000,0.000000,546,5766.00,1.08,1.67,-0.150,[Fe/H],4.50
1,1,392.60000000,13.900,0.592000,0.200000,,4414.00,11.00,0.74,-0.200,[Fe/H],2.24
1,1,733.00000000,13.500,1.210000,0.760000,,4534.00,10.33,1.09,-0.130,[Fe/H],2.48
1,1,2590.00000000,13.500,1.140000,0.350000,,4943.00,7.60,1.52,-0.190,[Fe/H],2.85
1,1,3.48777000,14.100,0.368000,0.020000,,5393.00,0.91,1.47,0.380,[Fe/H],4.69
1,1,714.29999000,12.500,8.750000,0.210000,,4545.00,19.17,2.12,-0.080,[Fe/H],2.20
1,1,655.60000000,12.800,4.250000,0.540000,,4714.00,0.69,0.74,-0.030,[Fe/H],4.26
1,1,10037.50000000,12.400,9.620000,,370,580.50,,0.02,,,4.72
1,1,,12.300,11.800000,,,3099.00,,0.35,,,
1,1,8.98910000,12.400,10.600000,0.250000,,3807.00,1.88,0.90,,,
1,1,,24.660,1.980000,,2600,4403.00,1.68,,-0.560,[Fe/H],3.66
1,1,1.50895570,16.700,0.380000,0.000000,1898,5950.00,1.11,0.95,-0.300,[M/H],4.25
1,1,13.24060000,10.870,3.700000,0.530000,600,5075.00,0.79,0.89,0.260,[Fe/H],4.65
1,1,2.99433000,16.030,0.990000,0.000000,1657,6440.00,1.37,1.27,-0.030,[Fe/H],4.22
1,1,2.82804200,16.140,0.411000,0.070000,1442,5675.00,1.12,1.08,0.160,[Fe/H],4.38
1,1,4.03519000,9.920,2.340000,0.000000,1700,5945.00,1.01,1.09,0.010,[Fe/H],4.46
