sy_snum,sy_pnum,st_mass
1,5,0.87
1,5,0.87
1,5,0.87
1,5,0.87
1,5,0.87
1,5,1.08
1,5,1.08
1,5,1.08
1,5,1.08
1,5,1.08
1,5,0.77
1,5,0.77
1,5,0.77
1,5,0.77
1,5,0.77
1,5,1.17
1,5,1.17
1,5,1.17
1,5,1.17
1,5,1.17
1,5,0.80
1,5,0.80
1,5,0.80
1,5,0.80
1,5,0.80
1,5,1.08
1,5,1.08
1,5,1.08
1,5,1.08
1,5,1.03
1,5,0.94
1,5,0.94
1,5,0.94
1,5,0.94
1,5,0.97
1,5,0.98
1,5,0.98
1,5,0.98
1,5,0.98
1,5,0.98
1,5,0.84
1,5,0.84
1,5,0.84
1,5,0.84
1,5,0.84
1,5,0.48
1,5,0.48
1,5,0.48
1,5,0.48
1,5,0.54
1,5,1.06
1,5,1.06
1,5,1.06
1,5,1.06
1,5,1.06
1,5,0.85
1,5,0.85
1,5,0.85
1,5,0.85
1,5,0.85
1,5,0.58
1,5,0.58
1,5,0.58
1,5,0.58
1,5,0.58
1,5,1.29
1,5,1.29
1,5,1.29
1,5,1.29
1,5,1.29
1,5,0.62
1,5,0.62
1,5,0.63
1,5,0.63
1,5,0.63
1,5,0.69
1,5,0.69
1,5,0.69
1,5,0.69
1,5,0.69
1,5,0.91
1,5,0.91
1,5,0.96
1,5,0.96
1,5,0.91
1,5,1.00
1,5,1.00
1,5,1.06
1,5,1.06
1,5,1.06
1,5,0.79
1,5,0.79
1,5,0.79
1,5,0.79
1,5,0.81
