sy_snum,sy_pnum,st_mass
1,2,1.54
1,2,1.54
1,2,1.34
1,2,1.34
1,2,10.83
1,2,2.80
1,2,0.70
1,2,0.70
1,2,0.50
1,2,0.74
1,2,0.65
1,2,0.65
1,2,1.14
1,2,1.14
1,2,0.91
1,2,0.91
1,2,0.82
1,2,0.90
1,2,1.07
1,2,0.61
1,2,0.88
1,2,0.69
1,2,0.69
1,2,0.94
1,2,0.97
1,2,0.97
1,2,0.18
1,2,0.18
1,2,0.34
1,2,0.34
1,2,0.73
1,2,0.29
1,2,0.29
1,2,0.42
1,2,0.42
1,2,0.16
1,2,0.16
1,2,0.50
1,2,0.50
1,2,0.27
1,2,0.27
1,2,0.40
1,2,0.40
1,2,0.45
1,2,0.45
1,2,0.49
1,2,0.49
1,2,0.15
1,2,0.15
1,2,0.81
1,2,0.81
1,2,1.32
1,2,1.32
1,2,0.99
1,2,0.92
1,2,0.94
1,2,0.94
1,2,1.04
1,2,1.04
1,2,3.21
1,2,1.30
1,2,1.09
1,2,1.09
1,2,1.10
1,2,0.95
1,2,1.05
1,2,1.05
1,2,1.00
1,2,1.00
1,2,0.58
1,2,0.58
1,2,0.85
1,2,0.85
1,2,1.24
1,2,1.24
1,2,1.20
1,2,1.02
1,2,0.83
1,2,0.83
1,2,1.09
1,2,1.09
1,2,1.10
1,2,1.10
1,2,0.77
1,2,0.77
1,2,1.29
1,2,1.29
1,2,1.02
1,2,1.02
1,2,0.93
1,2,0.93
1,2,1.21
1,2,1.21
1,2,0.90
1,2,0.90
1,2,1.96
1,2,1.72
1,2,1.15
1,2,0.92
1,2,0.95
1,2,0.93
1,2,1.12
1,2,1.12
1,2,1.19
1,2,1.19
1,2,1.33
1,2,1.33
1,2,1.12
1,2,1.12
1,2,0.99
1,2,0.99
1,2,1.40
1,2,1.40
1,2,0.79
1,2,0.79
1,2,1.31
1,2,1.06
1,2,1.04
1,2,1.04
1,2,0.80
1,2,0.80
1,2,0.88
1,2,0.88
1,2,1.39
1,2,1.39
1,2,1.91
1,2,1.91
1,2,1.03
1,2,1.02
1,2,1.07
1,2,1.07
1,2,0.67
1,2,0.87
1,2,0.82
1,2,0.82
1,2,0.80
1,2,0.80
1,2,1.00
1,2,0.98
1,2,0.73
1,2,1.18
1,2,1.18
1,2,0.75
1,2,0.75
1,2,1.05
1,2,0.99
1,2,1.41
1,2,1.62
1,2,1.84
1,2,1.78
1,2,0.94
1,2,0.94
1,2,1.09
1,2,1.25
1,2,0.99
1,2,1.03
1,2,1.03
1,2,0.82
1,2,0.82
1,2,0.96
1,2,0.96
1,2,2.19
1,2,2.19
1,2,1.25
1,2,1.31
1,2,0.80
1,2,0.80
1,2,1.13
1,2,1.13
1,2,1.27
1,2,1.27
1,2,1.50
1,2,1.50
1,2,0.99
1,2,0.99
1,2,1.36
1,2,1.36
1,2,1.14
1,2,1.01
1,2,1.24
1,2,1.24
1,2,1.26
1,2,1.26
1,2,1.08
1,2,1.08
1,2,1.02
1,2,1.02
1,2,1.15
1,2,1.15
1,2,1.00
1,2,1.00
1,2,1.54
1,2,1.54
1,2,1.46
1,2,1.72
1,2,0.61
1,2,0.61
1,2,0.78
1,2,0.78
1,2,0.57
1,2,0.57
1,2,0.93
1,2,0.93
1,2,1.63
1,2,1.63
1,2,0.84
1,2,0.84
1,2,0.54
1,2,0.54
1,2,0.71
1,2,0.71
1,2,0.33
1,2,0.33
1,2,0.65
1,2,0.65
1,2,0.92
1,2,0.92
1,2,1.16
1,2,0.88
1,2,0.96
1,2,0.96
1,2,0.93
1,2,0.93
1,2,0.36
1,2,0.36
1,2,1.06
1,2,1.06
1,2,0.94
1,2,0.94
1,2,0.90
1,2,0.90
1,2,0.94
1,2,0.96
1,2,0.73
1,2,0.73
1,2,0.96
1,2,0.96
1,2,0.68
1,2,0.68
1,2,1.06
1,2,1.06
1,2,0.91
1,2,0.91
1,2,0.87
1,2,0.87
1,2,1.07
1,2,1.07
1,2,0.58
1,2,0.58
1,2,1.29
1,2,1.29
1,2,0.74
1,2,0.74
1,2,0.71
1,2,0.71
1,2,0.50
1,2,0.50
1,2,0.84
1,2,0.84
1,2,0.85
1,2,0.85
1,2,0.79
1,2,0.79
1,2,0.95
1,2,0.41
1,2,0.41
1,2,0.70
1,2,0.70
1,2,0.79
1,2,0.79
1,2,2.24
1,2,1.07
1,2,0.57
1,2,0.57
1,2,0.61
1,2,0.61
1,2,0.61
1,2,0.77
1,2,0.77
1,2,0.77
1,2,0.77
1,2,1.40
1,2,1.40
1,2,1.16
1,2,1.16
1,2,0.78
1,2,0.78
1,2,0.48
1,2,0.48
1,2,0.95
1,2,0.95
1,2,0.63
1,2,0.70
1,2,1.42
1,2,1.13
1,2,1.07
1,2,1.04
1,2,1.04
1,2,0.98
1,2,1.50
1,2,1.02
1,2,1.02
1,2,1.08
1,2,1.08
1,2,0.50
1,2,0.50
1,2,0.91
1,2,1.02
1,2,0.90
1,2,0.93
1,2,1.17
1,2,1.17
1,2,0.99
1,2,0.99
1,2,1.09
1,2,1.09
1,2,1.08
1,2,1.08
1,2,1.28
1,2,0.96
1,2,1.09
1,2,1.09
1,2,0.94
1,2,0.94
1,2,1.00
1,2,1.00
1,2,1.11
1,2,1.05
1,2,1.04
1,2,1.04
1,2,1.13
1,2,1.13
1,2,1.07
1,2,1.07
1,2,1.17
1,2,1.17
1,2,0.78
1,2,0.78
1,2,1.00
1,2,1.00
1,2,0.75
1,2,0.75
1,2,0.81
1,2,0.81
1,2,1.07
1,2,1.07
1,2,1.26
1,2,1.26
1,2,1.21
1,2,1.21
1,2,1.13
1,2,1.13
1,2,0.81
1,2,0.81
1,2,0.92
1,2,0.92
1,2,0.65
1,2,0.65
1,2,0.86
1,2,0.86
1,2,1.01
1,2,1.01
1,2,0.86
1,2,0.86
1,2,0.54
1,2,0.54
1,2,1.09
1,2,1.09
1,2,1.07
1,2,1.07
1,2,1.02
1,2,1.02
1,2,1.05
1,2,1.05
1,2,0.54
1,2,0.54
1,2,1.02
1,2,1.02
1,2,0.94
1,2,0.94
1,2,1.06
1,2,1.06
1,2,1.25
1,2,1.25
1,2,0.55
1,2,0.55
1,2,1.00
1,2,1.00
1,2,0.91
1,2,0.91
1,2,1.19
1,2,1.19
1,2,0.87
1,2,0.87
1,2,1.05
1,2,1.05
1,2,1.13
1,2,1.13
1,2,1.15
1,2,1.15
1,2,1.00
1,2,1.00
1,2,1.06
1,2,1.06
1,2,1.15
1,2,1.15
1,2,1.32
1,2,1.32
1,2,1.10
1,2,1.10
1,2,1.02
1,2,1.02
1,2,1.04
1,2,1.04
1,2,1.14
1,2,1.14
1,2,0.87
1,2,0.87
1,2,1.20
1,2,1.20
1,2,0.83
1,2,0.83
1,2,0.83
1,2,0.83
1,2,0.92
1,2,0.92
1,2,0.64
1,2,0.64
1,2,0.84
1,2,0.84
1,2,0.66
1,2,0.66
1,2,0.63
1,2,0.63
1,2,0.86
1,2,0.86
1,2,0.95
1,2,0.95
1,2,0.88
1,2,0.88
1,2,1.12
1,2,1.12
1,2,0.88
1,2,0.88
1,2,0.20
1,2,0.20
1,2,0.79
1,2,0.79
1,2,1.23
1,2,1.23
1,2,1.11
1,2,1.11
1,2,1.09
1,2,1.09
1,2,0.79
