sy_snum,sy_pnum,st_mass
1,3,1.06
1,3,1.06
1,3,1.06
1,3,0.94
1,3,0.94
1,3,0.94
1,3,0.67
1,3,1.05
1,3,1.05
1,3,1.05
1,3,0.12
1,3,0.12
1,3,0.12
1,3,0.40
1,3,0.40
1,3,0.40
1,3,0.43
1,3,0.43
1,3,0.43
1,3,0.68
1,3,0.68
1,3,0.68
1,3,0.34
1,3,0.34
1,3,0.34
1,3,0.48
1,3,0.48
1,3,0.48
1,3,0.31
1,3,0.31
1,3,0.31
1,3,0.61
1,3,0.61
1,3,0.61
1,3,0.91
1,3,0.91
1,3,0.91
1,3,0.93
1,3,0.93
1,3,0.93
1,3,0.63
1,3,0.78
1,3,0.78
1,3,0.92
1,3,0.92
1,3,0.92
1,3,0.80
1,3,0.80
1,3,0.80
1,3,0.96
1,3,0.96
1,3,0.96
1,3,0.94
1,3,0.94
1,3,0.86
1,3,0.85
1,3,0.85
1,3,0.85
1,3,0.86
1,3,0.86
1,3,0.86
1,3,0.65
1,3,0.83
1,3,0.83
1,3,1.01
1,3,1.01
1,3,1.01
1,3,0.29
1,3,0.73
1,3,0.73
1,3,0.65
1,3,0.65
1,3,0.65
1,3,0.68
1,3,0.68
1,3,0.83
1,3,0.83
1,3,0.83
1,3,0.94
1,3,0.93
1,3,0.93
1,3,0.93
1,3,0.93
1,3,0.93
1,3,0.80
1,3,0.80
1,3,0.80
1,3,1.02
1,3,1.02
1,3,1.02
1,3,0.80
1,3,0.80
1,3,0.80
1,3,0.40
1,3,0.40
1,3,0.40
1,3,0.60
1,3,0.60
1,3,0.60
1,3,0.90
1,3,0.90
1,3,0.90
1,3,0.89
1,3,0.89
1,3,0.89
1,3,0.90
1,3,0.90
1,3,0.91
1,3,0.47
1,3,0.47
1,3,0.47
1,3,0.99
1,3,0.99
1,3,1.08
1,3,1.08
1,3,1.08
1,3,0.77
1,3,0.56
1,3,0.56
1,3,0.84
1,3,0.84
1,3,0.84
1,3,0.78
1,3,0.78
1,3,0.78
1,3,1.18
1,3,1.18
1,3,1.18
1,3,1.27
1,3,1.27
1,3,1.27
1,3,0.52
1,3,0.52
1,3,0.52
1,3,0.99
1,3,0.99
1,3,0.99
1,3,0.86
1,3,0.86
1,3,0.86
1,3,0.92
1,3,0.92
1,3,0.92
1,3,1.02
1,3,1.02
1,3,1.02
1,3,0.97
1,3,0.97
1,3,0.97
1,3,1.09
1,3,1.09
1,3,1.09
1,3,0.88
1,3,0.88
1,3,0.88
1,3,0.91
1,3,0.91
1,3,0.91
1,3,0.60
1,3,0.60
1,3,0.60
1,3,0.94
1,3,0.94
1,3,0.94
1,3,0.97
1,3,0.97
1,3,0.97
1,3,0.97
1,3,0.97
1,3,0.97
1,3,0.94
1,3,0.94
1,3,0.94
1,3,0.81
1,3,0.81
1,3,0.84
1,3,0.94
1,3,0.94
1,3,0.94
1,3,1.09
1,3,1.09
1,3,1.09
1,3,0.97
1,3,0.97
1,3,0.97
1,3,1.00
1,3,1.00
1,3,1.00
1,3,1.05
1,3,1.05
1,3,1.05
1,3,1.04
1,3,1.04
1,3,1.04
1,3,1.14
1,3,1.14
1,3,1.37
1,3,1.02
1,3,1.02
1,3,1.01
1,3,1.17
1,3,1.17
1,3,1.17
1,3,0.88
1,3,0.88
1,3,0.88
1,3,0.91
1,3,0.91
1,3,0.91
1,3,0.95
1,3,0.95
1,3,0.95
1,3,0.80
1,3,0.80
1,3,0.80
1,3,1.11
1,3,1.11
1,3,1.10
1,3,0.96
1,3,0.96
1,3,0.96
1,3,0.84
1,3,0.84
1,3,0.84
1,3,0.51
1,3,0.51
1,3,0.51
1,3,0.83
1,3,0.83
1,3,0.83
1,3,0.85
1,3,0.85
1,3,0.85
1,3,0.93
1,3,0.93
1,3,0.93
1,3,0.87
1,3,0.87
1,3,0.90
1,3,0.85
1,3,0.85
1,3,0.85
1,3,0.54
1,3,0.54
1,3,0.54
1,3,0.90
1,3,0.90
1,3,0.90
1,3,0.86
1,3,0.86
1,3,0.86
1,3,1.16
1,3,1.16
1,3,1.16
1,3,1.04
1,3,1.10
1,3,1.10
1,3,1.16
1,3,1.10
1,3,1.10
1,3,1.03
1,3,1.03
1,3,1.03
1,3,1.08
1,3,1.08
1,3,1.08
1,3,0.89
1,3,0.89
1,3,0.89
1,3,0.66
1,3,0.66
1,3,0.66
1,3,0.99
1,3,0.99
1,3,0.99
1,3,0.98
1,3,0.98
1,3,0.98
1,3,1.21
1,3,1.21
1,3,1.21
1,3,0.91
1,3,0.91
1,3,0.91
1,3,0.96
1,3,0.96
1,3,0.96
1,3,0.92
1,3,0.92
1,3,0.92
1,3,0.85
1,3,0.85
1,3,0.85
1,3,0.59
1,3,0.59
1,3,0.59
1,3,0.65
1,3,0.65
1,3,0.65
1,3,0.80
1,3,0.80
1,3,0.80
1,3,1.07
1,3,1.07
1,3,1.07
1,3,1.09
1,3,1.09
1,3,1.09
1,3,0.93
1,3,0.93
1,3,0.93
1,3,1.19
1,3,1.00
1,3,1.00
1,3,0.81
1,3,0.81
1,3,0.81
1,3,0.65
1,3,0.73
1,3,0.65
1,3,0.79
1,3,0.79
1,3,0.79
1,3,1.14
1,3,1.14
1,3,1.14
1,3,1.10
1,3,1.10
1,3,1.10
1,3,1.15
1,3,1.20
1,3,1.15
1,3,1.04
1,3,1.04
1,3,1.04
1,3,1.12
1,3,1.12
1,3,1.05
1,3,0.65
1,3,0.65
1,3,0.72
1,3,0.90
1,3,0.90
1,3,0.90
1,3,1.17
1,3,1.17
1,3,1.17
1,3,1.25
1,3,1.25
1,3,1.25
1,3,0.13
1,3,0.13
1,3,0.13
1,3,1.07
1,3,1.07
1,3,1.07
1,3,0.18
1,3,0.18
1,3,0.18
1,3,0.22
1,3,0.22
1,3,0.22
1,3,1.19
1,3,1.19
1,3,1.19
1,3,0.90
1,3,0.90
1,3,0.92
1,3,1.04
1,3,1.04
1,3,1.04
1,3,0.54
1,3,0.54
1,3,0.58
1,3,0.98
1,3,0.98
1,3,0.98
1,3,0.51
1,3,0.51
1,3,0.52
1,3,1.32
1,3,1.32
1,3,1.29
1,3,0.95
1,3,0.95
1,3,1.04
1,3,1.04
1,3,1.04
1,3,1.04
1,3,1.01
1,3,1.01
1,3,1.01
1,3,0.94
1,3,0.94
1,3,0.94
1,3,0.64
1,3,0.64
1,3,0.65
1,3,0.99
1,3,1.02
1,3,1.02
1,3,1.07
1,3,1.21
1,3,1.21
1,3,1.07
1,3,0.31
1,3,0.31
1,3,0.31
1,3,1.40
1,3,1.40
1,3,1.40
1,3,0.86
1,3,0.86
1,3,0.86
1,3,0.40
1,3,0.40
1,3,0.40
1,3,0.41
1,3,0.41
1,3,0.41
1,3,0.29
1,3,0.29
1,3,0.29
1,3,0.13
1,3,0.13
1,3,0.13
