pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_age,st_dens,sy_dist
11 Com b,11 Com,2,1,326.03000000,1.290000,12.100,1.080,6165.60000,19.40000,0.231000,G8 III,4742.00,19.00,2.70,-0.350,[Fe/H],,,93.1846000
11 UMi b,11 UMi,1,1,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,0.080000,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],1.560,,125.3210000
14 And b,14 And,1,1,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,0.000000,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],4.500,,75.4392000
14 Her b,14 Her,1,1,1773.40002000,2.930000,12.900,1.150,1481.08780,4.66000,0.370000,K0 V,5338.00,0.93,0.90,0.410,[Fe/H],3.900,1.27393,17.9323000
16 Cyg B b,16 Cyg B,3,1,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,0.680000,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],7.400,1.01103,21.1397000
18 Del b,18 Del,2,1,993.30000000,2.600000,12.500,1.110,3273.50000,10.30000,0.080000,G6 III,4979.00,8.50,2.30,-0.052,[Fe/H],1.100,,76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.000000,18.647,1.664,3000.00000,8.00000,,K7 V,4060.00,1.31,0.85,,,0.005,0.38789,139.1350000
24 Boo b,24 Boo,1,1,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,0.042000,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],6.920,,95.9863000
24 Sex b,24 Sex,1,2,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,0.090000,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],2.700,,72.0691000
24 Sex c,24 Sex,1,2,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,0.290000,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],2.700,,72.0691000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,84.000000,12.300,1.100,4131.79000,13.00000,,M5.5/M6,,,0.19,,,0.030,,47.2000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,52.000000,11.209,1.000,7786.50000,24.50000,,M3.5 V,3530.00,0.37,0.40,,,0.120,10.11868,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,156.000000,16.141,1.440,4417.83700,13.90000,,M6,3064.00,0.28,0.11,,,0.035,17.67076,40.0896412
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,15.000000,12.600,1.130,2383.60000,7.50000,,M8.5,2936.00,0.23,0.02,,,0.001,22.78110,120.4239870
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,46.000000,13.000,1.160,1271.00000,4.00000,,M8,2825.00,0.22,0.19,,,0.008,25.27945,64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,416.00000000,0.920000,13.400,1.200,603.87700,1.90000,,,10868.00,0.34,0.48,-0.092,[Fe/H],,,396.3320000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,7336.50000000,,10.310,0.920,6657.48000,20.95000,0.260000,M8.5,2300.00,0.12,0.08,,,,63.55229,33.1156898
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,230.000000,12.300,1.100,3972.87500,12.50000,,K7 V,4045.00,0.64,0.60,,,0.120,3.36994,69.5737000
30 Ari B b,30 Ari B,4,1,335.10001000,0.990000,12.300,1.100,4392.41060,13.82000,0.290000,F6 V,6331.00,1.41,1.93,0.190,[Fe/H],0.910,0.74300,44.6570000
4 UMa b,4 UMa,1,1,269.30000000,0.870000,12.700,1.130,2256.50000,7.10000,0.432000,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],4.604,,73.4603000
42 Dra b,42 Dra,2,1,479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,0.380000,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],9.490,,90.6545000
47 UMa b,47 UMa,1,3,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,0.032000,G0 V,5872.00,1.21,1.06,0.040,[M/H],6.480,0.83662,13.7967000
47 UMa c,47 UMa,1,3,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,0.098000,G1 V,5872.00,1.21,1.06,0.040,[M/H],6.480,0.83662,13.7967000
47 UMa d,47 UMa,1,3,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,0.160000,G0V,5872.00,1.21,1.06,0.040,[M/H],6.480,0.83662,13.7967000
51 Eri b,51 Eri,3,1,11688.00000000,12.000000,13.400,1.190,635.66000,2.00000,0.450000,F0 IV,7295.00,1.49,1.65,-0.027,[M/H],0.020,0.70712,29.7575000
51 Peg b,51 Peg,1,1,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,0.013000,G5V,5758.00,1.18,1.03,0.180,[M/H],10.000,0.89374,15.4614000
55 Cnc b,55 Cnc,2,5,14.65160000,0.113400,13.900,1.240,263.97850,0.83060,0.000000,K0 IV-V,5172.00,0.94,0.91,0.350,[Fe/H],5.500,1.41851,12.5855000
55 Cnc c,55 Cnc,2,5,44.39890000,0.237300,8.510,0.760,54.47380,0.17140,0.030000,G8V,5172.00,0.94,0.91,0.350,[Fe/H],10.200,1.41851,12.5855000
55 Cnc d,55 Cnc,2,5,5574.20000000,5.957000,13.000,1.160,1232.49300,3.87800,0.130000,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],5.500,1.41851,12.5855000
55 Cnc e,55 Cnc,2,5,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,0.050000,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],10.200,1.41000,12.5855000
55 Cnc f,55 Cnc,2,5,259.88000000,0.770800,7.590,0.677,44.81200,0.14100,0.080000,G8V,5172.00,0.94,0.91,0.350,[Fe/H],10.200,1.41851,12.5855000
6 Lyn b,6 Lyn,1,1,934.30000000,2.110000,13.400,1.190,638.83830,2.01000,0.073000,K0 IV,4938.00,5.20,1.44,-0.130,[Fe/H],2.353,,54.6599000
61 Vir b,61 Vir,1,3,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,0.120000,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],8.960,1.44933,8.5033200
61 Vir c,61 Vir,1,3,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,0.140000,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],8.960,1.44933,8.5033200
61 Vir d,61 Vir,1,3,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,0.350000,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],8.960,1.44933,8.5033200
7 CMa b,7 CMa,1,2,735.10000000,1.758000,13.400,1.200,587.98550,1.85000,0.060000,K1 III,4826.00,4.87,1.34,0.210,[Fe/H],4.300,,19.8101000
7 CMa c,7 CMa,1,2,996.00000000,2.153000,13.900,1.240,276.51210,0.87000,0.080000,K1III(+M),4826.00,4.87,1.34,0.210,[Fe/H],4.300,,19.8101000
70 Vir b,70 Vir,1,1,116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,0.398800,G5V,5495.00,1.89,1.09,-0.090,[Fe/H],7.770,0.19024,17.9011000
