pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_gaiamag
11 Com b,11 Com,1,2,1,326.03000000,1.290000,6165.60000,19.40000,0.231000,,4742.00,19.00,2.70,-0.350,[Fe/H],2.31,4.4403800
11 UMi b,11 UMi,0,1,1,516.22000000,1.540000,3337.07000,10.50000,0.080000,,4340.00,24.08,1.80,0.040,[Fe/H],1.60,4.5621600
11 UMi b,11 UMi,1,1,1,516.21997000,1.530000,4684.81420,14.74000,0.080000,,4213.00,29.79,2.78,-0.020,[Fe/H],1.93,4.5621600
11 UMi b,11 UMi,0,1,1,,1.510000,3432.40000,10.80000,,,,,1.70,,,,4.5621600
14 And b,14 And,1,1,1,185.84000000,0.830000,1525.50000,4.80000,0.000000,,4813.00,11.00,2.20,-0.240,[Fe/H],2.63,4.9178100
14 And b,14 And,0,1,1,,0.680000,1017.00000,3.20000,,,,,1.20,,,,4.9178100
14 Her b,14 Her,0,1,1,1724.00000000,2.820000,1554.12000,4.89000,0.370000,,,,1.00,0.350,[Fe/H],,6.3830000
14 Her b,14 Her,0,1,1,1773.40000000,2.770000,1474.67000,4.64000,0.369000,,,,,,,,6.3830000
14 Her b,14 Her,0,1,1,1796.40000000,2.800000,1506.45000,4.74000,0.338000,,5255.00,,0.90,0.510,[Fe/H],4.40,6.3830000
14 Her b,14 Her,0,1,1,,2.730000,1440.66300,4.53300,0.357000,,,,0.90,,,,6.3830000
14 Her b,14 Her,1,1,1,1773.40002000,2.930000,1481.08780,4.66000,0.370000,,5338.00,0.93,0.90,0.410,[Fe/H],4.45,6.3830000
14 Her b,14 Her,0,1,1,1766.00000000,2.864000,1581.13800,4.97500,0.359000,,5280.00,1.00,0.91,0.400,[M/H],4.40,6.3830000
16 Cyg B b,16 Cyg B,1,3,1,798.50000000,1.660000,565.73740,1.78000,0.680000,,5750.00,1.13,1.08,0.060,[Fe/H],4.36,6.0642800
16 Cyg B b,16 Cyg B,0,3,1,798.50000000,1.681000,533.95440,1.68000,0.681000,,5674.00,,0.99,0.038,[Fe/H],4.36,6.0642800
16 Cyg B b,16 Cyg B,0,3,1,799.50000000,1.680000,533.93000,1.68000,0.689000,,5747.00,1.13,1.03,0.060,[M/H],4.35,6.0642800
16 Cyg B b,16 Cyg B,0,3,1,800.80000000,1.600000,476.70000,1.50000,0.634000,,5760.00,,1.00,0.050,[Fe/H],4.35,6.0642800
16 Cyg B b,16 Cyg B,0,3,1,799.50000000,1.680000,533.93000,1.68000,0.689000,,,,,,,,6.0642800
18 Del b,18 Del,0,2,1,,2.540000,3127.30000,9.84000,,,,,2.10,,,,5.2747600
18 Del b,18 Del,1,2,1,993.30000000,2.600000,3273.50000,10.30000,0.080000,,4979.00,8.50,2.30,-0.052,[Fe/H],2.82,5.2747600
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,,330.000000,3000.00000,8.00000,,1700,4060.00,,0.85,,,,12.0572000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,,330.000000,4000.00000,12.00000,,1700,4060.00,,0.85,,,,12.0572000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,,330.000000,2543.00000,8.00000,,1800,4060.00,1.35,0.85,,,,12.0572000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,,330.000000,3000.00000,8.00000,,1800,3993.00,1.31,0.62,,,4.00,12.0572000
24 Boo b,24 Boo,1,1,1,30.35060000,0.190000,289.22530,0.91000,0.042000,,4893.00,10.64,0.99,-0.770,[Fe/H],2.42,5.3339000
24 Sex b,24 Sex,1,1,2,452.80000000,1.333000,632.46000,1.99000,0.090000,,5098.00,4.90,1.54,-0.030,[Fe/H],3.50,6.2037400
24 Sex c,24 Sex,1,1,2,883.00000000,2.080000,273.32000,0.86000,0.290000,,5098.00,4.90,1.54,-0.030,[Fe/H],3.50,6.2037400
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,,84.000000,4131.79000,13.00000,,,,,0.19,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,,52.000000,7786.50000,24.50000,,,3530.00,,0.40,,,,12.9025000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,0,1,1,,,,,,1600,3309.00,0.37,0.35,,,4.86,12.9025000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,,156.000000,4417.83700,13.90000,,,3064.00,0.28,0.11,,,4.59,15.0123000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,,15.000000,2383.60000,7.50000,,,,,0.02,,,,18.9668000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,0,1,1,,55.000000,1589.15000,5.00000,,1250,,,0.02,,,,17.4076000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,,46.000000,1271.00000,4.00000,,1150,2825.00,0.22,0.19,,,5.03,17.4076000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,1,416.00000000,0.920000,603.87700,1.90000,,,,,0.48,,,,12.1376000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,1,7336.50000000,,6657.48000,20.95000,0.260000,2075,2300.00,0.12,0.08,,,,17.3961000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,,230.000000,3972.87500,12.50000,,,4045.00,,0.60,,,,11.9484000
30 Ari B b,30 Ari B,1,4,1,335.10001000,0.990000,4392.41060,13.82000,0.290000,,6331.00,1.41,1.93,0.190,[Fe/H],4.43,6.9608500
30 Ari B b,30 Ari B,0,4,1,335.10000000,0.995000,3140.03000,9.88000,0.289000,,6300.00,1.13,1.16,0.245,[Fe/H],4.50,6.9608500
30 Ari B b,30 Ari B,0,4,1,345.40000000,1.010000,2097.67800,6.60000,0.180000,,,1.13,1.16,,,,6.9608500
