pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
11 UMi b,11 UMi,1,1,0,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,Msini,0.080000,,,0,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],2.430,1.93,1.560,,1.5000,,-17.52,4.5621600
14 And b,14 And,1,1,0,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,Msini,0.000000,,,0,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,4.500,,2.6000,,-59.73,4.9178100
14 Her b,14 Her,1,1,0,1773.40002000,2.930000,12.900,1.150,1481.08780,4.66000,Msini,0.370000,,,0,K0 V,5338.00,0.93,0.90,0.410,[Fe/H],-0.153,4.45,3.900,1.27393,1.0000,,-13.82,6.3830000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,,330.000000,18.647,1.664,3000.00000,8.00000,Mass,,,1700,0,K7 V,4060.00,1.31,0.85,,,-0.370,4.00,0.005,0.38789,,,,12.0572000
24 Boo b,24 Boo,1,1,0,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,Msini,0.042000,,,0,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,,3.3600,,-7.77,5.3339000
24 Sex b,24 Sex,1,2,0,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,Msini,0.090000,,,0,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,7.29,6.2037400
24 Sex c,24 Sex,1,2,0,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,Msini,0.290000,,,0,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,7.29,6.2037400
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,,52.000000,11.209,1.000,7786.50000,24.50000,Mass,,,1600,0,M3.5 V,3530.00,0.37,0.40,,,-1.720,4.86,0.120,10.11868,,,9.60,12.9025000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,,156.000000,16.141,1.440,4417.83700,13.90000,Mass,,,,0,M6,3064.00,0.28,0.11,,,-2.230,4.59,0.035,17.67076,6.5000,,10.60,15.0123000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,,15.000000,12.600,1.130,2383.60000,7.50000,Mass,,,,0,M8.5,2936.00,0.23,0.02,,,-2.444,5.01,0.001,22.78110,,,,18.9668000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,,46.000000,13.000,1.160,1271.00000,4.00000,Mass,,,1150,0,M8,2825.00,0.22,0.19,,,-2.561,5.03,0.008,25.27945,,,,17.4076000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,0,7336.50000000,,10.310,0.920,6657.48000,20.95000,Mass,0.260000,,2075,0,M8.5,2300.00,0.12,0.08,,,-3.480,5.22,,63.55229,,,13.00,17.3961000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,,230.000000,12.300,1.100,3972.87500,12.50000,Mass,,,,0,K7 V,4045.00,0.64,0.60,,,-1.021,4.62,0.120,3.36994,,,-21.50,11.9484000
4 UMa b,4 UMa,1,1,0,269.30000000,0.870000,12.700,1.130,2256.50000,7.10000,Msini,0.432000,,,0,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],2.062,1.80,4.604,,,,14.62,4.2377300
47 UMa b,47 UMa,1,3,0,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,Msini,0.032000,,,0,G0 V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,6.480,0.83662,2.8000,,11.22,4.8783700
47 UMa c,47 UMa,1,3,0,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,Msini,0.098000,,,0,G1 V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,6.480,0.83662,2.8000,,11.22,4.8783700
47 UMa d,47 UMa,1,3,0,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,Msini,0.160000,,,0,G0V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,6.480,0.83662,2.8000,,11.22,4.8783700
51 Peg b,51 Peg,1,1,0,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,Mass,0.013000,,,0,G5V,5758.00,1.18,1.03,0.180,[M/H],0.136,4.31,10.000,0.89374,2.2000,30.00,-33.25,5.2864700
6 Lyn b,6 Lyn,1,1,0,934.30000000,2.110000,13.400,1.190,638.83830,2.01000,Msini,0.073000,,,0,K0 IV,4938.00,5.20,1.44,-0.130,[Fe/H],1.176,3.19,2.353,,1.3200,,39.70,5.6068600
61 Vir b,61 Vir,1,3,0,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,Msini,0.120000,,,0,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,,-8.20,4.5405200
61 Vir c,61 Vir,1,3,0,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,Msini,0.140000,,,0,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,,-8.20,4.5405200
61 Vir d,61 Vir,1,3,0,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,Msini,0.350000,,,0,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,,-8.20,4.5405200
7 CMa b,7 CMa,1,2,0,735.10000000,1.758000,13.400,1.200,587.98550,1.85000,Msin(i)/sin(i),0.060000,,,0,K1 III,4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,4.300,,1.1500,,,3.6785300
7 CMa c,7 CMa,1,2,0,996.00000000,2.153000,13.900,1.240,276.51210,0.87000,Msin(i)/sin(i),0.080000,,,0,K1III(+M),4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,4.300,,1.1500,,,3.6785300
70 Vir b,70 Vir,1,1,0,116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,Mass,0.398800,,,0,G5V,5495.00,1.89,1.09,-0.090,[Fe/H],0.451,3.95,7.770,0.19024,1.5600,,4.95,4.7617800
8 UMi b,8 UMi,1,1,0,93.40000000,0.490000,13.600,1.220,416.35730,1.31000,Msini,0.060000,,,0,K0,4847.00,10.30,1.44,-0.030,[Fe/H],1.725,2.57,1.700,,3.6000,,-9.20,6.5589600
81 Cet b,81 Cet,1,1,0,952.70000000,2.500000,12.800,1.140,1684.40000,5.30000,Msini,0.206000,,,0,G5 III,4785.00,11.00,2.40,-0.060,[Fe/H],1.778,2.35,,,1.8000,,9.25,5.3758800
AB Pic b,AB Pic,1,1,0,,260.000000,12.300,1.100,4290.50000,13.50000,Mass,,,,0,K2 V,5285.00,1.00,0.90,0.040,[Fe/H],-0.226,4.53,0.030,1.12014,10.3500,,22.20,8.8378000
AU Mic b,AU Mic,1,1,0,8.46321000,0.066000,4.203,0.375,57.20940,0.18000,Msini,0.100000,,,0,M1VE,3700.00,0.75,0.50,,,-1.046,4.57,0.022,2.74466,8.7000,4.86,-6.31,7.8403800
BD+03 2562 b,BD+03 2562,1,1,0,481.90000000,1.300000,12.700,1.130,2034.11200,6.40000,Msini,0.200000,,,0,,4095.00,32.35,1.14,-0.710,[Fe/H],2.700,1.89,5.200,,2.7000,,50.88,8.9977000
BD+14 4559 b,BD+14 4559,1,1,0,268.94000000,0.780000,13.800,1.230,330.54320,1.04000,Msini,0.290000,,,0,K2 V,4864.00,0.86,0.49,0.170,[Fe/H],-0.320,4.26,,1.73113,2.5000,,-44.30,9.3510800
BD+15 2375 b,BD+15 2375,1,1,0,153.22000000,0.576000,13.800,1.230,337.21763,1.06100,Msini,0.001000,,,0,G5,4649.00,8.95,1.08,-0.220,[Fe/H],1.570,2.61,7.410,,2.5000,,-9.65,9.9918000
BD+15 2940 b,BD+15 2940,1,1,0,137.48000000,0.539000,13.700,1.230,352.78000,1.11000,Msini,0.260000,,,0,K0,4796.00,14.70,1.10,0.280,[Fe/H],2.010,2.80,7.100,,2.3000,,36.71,8.7178000
BD+20 2457 b,BD+20 2457,1,2,0,379.63000000,1.050000,11.600,1.030,17668.16970,55.59000,Msini,0.150000,,,0,K2 II,4259.00,71.02,10.83,-0.790,[Fe/H],3.170,1.77,,,2.5000,,145.77,9.2268400
BD+20 2457 c,BD+20 2457,1,2,0,621.99000000,2.010000,12.400,1.100,3963.17000,12.47000,Msini,0.180000,,,0,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],3.170,1.51,,,2.5000,,145.77,9.2268400
BD+20 274 b,BD+20 274,1,1,0,578.20000000,1.300000,13.000,1.160,1334.88600,4.20000,Msini,0.210000,,,0,K5 III,4296.00,17.30,0.80,-0.460,[Fe/H],1.960,1.99,,,2.0000,,8.39,8.9161300
BD+20 594 b,BD+20 594,1,1,0,41.68550000,0.241000,2.578,0.230,22.24810,0.07000,Mass,0.000000,,546,0,G,5766.00,1.08,1.67,-0.150,[Fe/H],-0.056,4.50,3.340,1.89000,3.3000,,-20.34,10.8644000
BD+48 738 b,BD+48 738,1,1,0,392.60000000,1.000000,13.900,1.240,289.22530,0.91000,Msini,0.200000,,,0,K0 III,4414.00,11.00,0.74,-0.200,[Fe/H],1.690,2.24,,,1.0000,,-5.81,8.6556900
BD+48 740 b,BD+48 740,1,1,0,733.00000000,1.700000,13.500,1.200,540.31100,1.70000,Msini,0.760000,,,0,K3 III,4534.00,10.33,1.09,-0.130,[Fe/H],1.640,2.48,,,0.7000,746.00,-45.93,8.2644900
BD+49 828 b,BD+49 828,1,1,0,2590.00000000,4.200000,13.500,1.210,508.50000,1.60000,Msini,0.350000,,,0,K0,4943.00,7.60,1.52,-0.190,[Fe/H],1.470,2.85,2.340,,1.7000,,3.61,9.0285100
BD-06 1339 b,BD-06 1339,1,2,0,3.87280000,0.042800,2.850,0.254,8.50000,0.02700,Msini,0.000000,,,0,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],-1.022,4.74,4.400,2.74700,0.5700,,23.62,9.1067700
BD-06 1339 c,BD-06 1339,1,2,0,125.94000000,0.435000,8.380,0.747,53.00000,0.17000,Msini,0.310000,,,0,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],-1.022,4.74,4.400,2.74700,0.5700,,23.62,9.1067700
